"Team_name","player_name","position","targets","rz_targets","target_share","rz_target_share","completions","rz_completions","rec_yards","rz_rec_yards","rush_attempts","rz_rush_attempts","rush_share","rz_rush_share","rush_yards","rz_rush_yards","rz_tds","non_rz_tds"
"NE","R.Doubs","WR",3,0,0.097,0,0,0,0,0,0,0,0,NA,0,0,0,0
"NE","L.Larison","RB",2,0,0.065,0,2,0,9,0,0,0,0,NA,0,0,0,0
"NE","E.Raridon","TE",1,1,0.032,0.5,1,1,2,2,0,0,0,NA,0,0,1,0
"NO","T.Etienne","RB",9,2,0.17,0.222,7,2,32,7,9,1,0.36,0.25,46,7,0,0
"NO","C.Olave","WR",13,1,0.245,0.111,10,1,182,9,0,0,0,0,0,0,0,0
"NO","D.Vele","WR",9,1,0.17,0.111,7,1,69,1,0,0,0,0,0,0,1,0
"NO","K.Miller","RB",0,0,0,0,0,0,0,0,9,2,0.36,0.5,30,7,1,0
"NO","N.Fant","TE",8,1,0.151,0.111,4,1,33,8,0,0,0,0,0,0,1,0
"NO","J.Johnson","TE",7,3,0.132,0.333,3,1,54,9,0,0,0,0,0,0,1,0
"NO","B.Lance","WR",5,1,0.094,0.111,3,0,42,0,0,0,0,0,0,0,0,0
"NO","C.Donaldson","RB",2,0,0.038,0,1,0,-2,0,2,0,0.08,0,4,0,0,0
"NO","T.Shough","QB",0,0,0,0,0,0,0,0,4,1,0.16,0.25,8,1,0,0
"NO","B.Brown","WR",0,0,0,0,0,0,0,0,1,0,0.04,0,3,0,0,0
"NYG","C.Skattebo","RB",0,0,0,0,0,0,0,0,18,4,0.529,0.8,81,9,1,0
"NYG","D.Singletary","RB",4,2,0.138,0.286,4,2,22,16,6,1,0.176,0.2,16,3,1,0
"NYG","M.Nabers","WR",9,1,0.31,0.143,6,1,69,13,0,0,0,0,0,0,0,0
"NYG","I.Likely","TE",8,4,0.276,0.571,8,4,78,35,0,0,0,0,0,0,2,0
"NYG","J.Dart","QB",0,0,0,0,0,0,0,0,8,0,0.235,0,59,0,0,0
"NYG","M.Fields","WR",4,0,0.138,0,2,0,25,0,0,0,0,0,0,0,0,0
"NYG","D.Mooney","WR",2,0,0.069,0,2,0,27,0,0,0,0,0,0,0,0,0
"NYG","T.Tracy","RB",0,0,0,0,0,0,0,0,2,0,0.059,0,14,0,0,0
"NYG","P.Ricard","RB",1,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYG","T.Johnson","TE",1,0,0.034,0,1,0,9,0,0,0,0,0,0,0,0,0
"NYJ","B.Hall","RB",2,0,0.087,0,2,0,16,0,22,4,0.611,0.667,102,14,1,0
"NYJ","B.Allen","RB",1,1,0.043,1,0,0,0,0,10,0,0.278,0,40,0,0,0
"NYJ","G.Wilson","WR",7,0,0.304,0,6,0,79,0,0,0,0,0,0,0,0,0
"NYJ","K.Sadiq","TE",3,0,0.13,0,3,0,21,0,1,1,0.028,0.167,3,3,1,0
"NYJ","A.Mitchell","WR",3,0,0.13,0,3,0,60,0,0,0,0,0,0,0,0,0
"NYJ","M.Taylor","TE",3,0,0.13,0,2,0,-2,0,0,0,0,0,0,0,0,0
"NYJ","G.Smith","QB",0,0,0,0,0,0,0,0,3,1,0.083,0.167,10,7,0,0
"NYJ","J.Ruckert","TE",1,0,0.043,0,1,0,4,0,0,0,0,0,0,0,0,0
"NYJ","I.Williams","WR",1,0,0.043,0,1,0,7,0,0,0,0,0,0,0,0,0
"NYJ","A.Smith","WR",1,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYJ","O.Cooper","WR",1,0,0.043,0,1,0,30,0,0,0,0,0,0,0,0,0
"PHI","S.Barkley","RB",2,0,0.091,0,1,0,-3,0,15,2,0.652,0.667,83,-1,0,0
"PHI","D.Smith","WR",6,0,0.273,0,3,0,53,0,0,0,0,0,0,0,0,0
"PHI","D.Goedert","TE",5,2,0.227,0.667,4,1,77,17,0,0,0,0,0,0,1,1
"PHI","J.Hurts","QB",0,0,0,0,0,0,0,0,5,0,0.217,0,48,0,0,0
"PHI","D.Wicks","WR",4,1,0.182,0.333,2,1,73,9,0,0,0,0,0,0,1,0
"PHI","M.Lemon","WR",4,0,0.182,0,3,0,-5,0,0,0,0,0,0,0,0,0
"PHI","W.Shipley","RB",1,0,0.045,0,1,0,8,0,2,0,0.087,0,4,0,0,0
"PHI","T.Bigsby","RB",0,0,0,0,0,0,0,0,1,1,0.043,0.333,3,3,0,0
"PIT","J.Warren","RB",6,2,0.162,0.5,5,1,27,7,10,0,0.556,0,46,0,0,0
